Date,Open,High,Low,Close,Volume
2017-08-23,124.79,125.78,124.55,125.54,921600
2017-08-24,125.72,126.79,125.25,126.38,1579000
2017-08-25,127.19,128.4,126.54,126.77,1254000
2017-08-28,126.81,128.42,126.81,128.12,1577300
2017-08-29,127.52,128.87,127.34,128.22,1178500
2017-08-30,128.01,129.76,127.72,129.65,1753000
2017-08-31,129.53,130.7,129.09,130.12,2293200
2017-09-01,130.36,130.36,127.64,128.11,1765800
2017-09-05,128.29,129.33,128.03,129.14,1559300
2017-09-06,129.2,129.47,128.38,128.38,1380700
2017-09-07,128.59,129.22,128.33,129.19,1757400
2017-09-08,129.02,129.02,126.95,127.43,2240600
2017-09-11,128.69,129.06,127.1,128.47,2202000
2017-09-12,128.44,128.57,126.43,127.29,2058700
2017-09-13,127.38,127.47,126.02,126.3,2087600
2017-09-14,125.52,125.77,124.28,125.55,2778900
2017-09-15,125.73,127.56,125.57,127.45,3210600
2017-09-18,127.46,128.52,127.02,127.24,1531000
2017-09-19,127.24,127.95,121.97,123.9,5507600
2017-09-20,124.06,124.47,122.58,123.39,2876800
2017-09-21,123.51,123.82,122.52,122.52,1958400
2017-09-22,121.47,122.32,120.56,121.09,3140700
2017-09-25,121.12,121.61,120.47,120.75,1936200
2017-09-26,120.76,121.24,117.87,119.9,2752300
2017-09-27,119.55,119.87,118.22,118.42,2646600
2017-09-28,118.61,120.24,118.12,120.2,1988600
2017-09-29,119.87,121.16,119.77,120.72,1705800
2017-10-02,121.03,121.57,119.82,119.99,1513400
2017-10-03,120.12,121.18,119.99,120.7,1885800
2017-10-04,120.91,123.34,120.73,122.62,1827000
2017-10-05,122.87,123.59,122.77,122.99,1965400
2017-10-06,122.33,122.88,121.34,122.86,1377200
2017-10-09,122.77,122.86,121.46,121.83,2115800
2017-10-10,122.02,122.28,120.88,121.08,2173900
2017-10-11,121.02,122.76,121.02,121.82,2003800
2017-10-12,121.87,123.94,121.34,123.68,1657900
2017-10-13,124.31,124.45,123.0,123.62,1815500
2017-10-16,123.39,124.25,122.59,123.29,1590200
2017-10-17,123.34,123.95,121.94,122.88,1393100
2017-10-18,122.72,122.89,121.36,121.42,1695800
2017-10-19,121.37,122.77,121.04,122.23,2090600
2017-10-20,122.57,123.85,122.06,122.83,1860900
2017-10-23,122.44,122.99,121.65,122.55,1556900
2017-10-24,122.77,122.83,121.18,121.91,1875300
2017-10-25,121.59,122.0,120.65,121.29,1209900
2017-10-26,121.94,122.98,121.36,122.28,1692700
2017-10-27,123.02,123.77,122.02,122.79,1556200
2017-10-30,122.55,127.89,122.24,126.18,5117800
2017-10-31,123.58,127.47,122.15,126.89,2999200
2017-11-01,127.4,127.76,123.99,124.36,2819200
2017-11-02,124.22,126.26,124.11,125.8,1367600
2017-11-03,125.27,125.78,123.85,125.5,1577200
2017-11-06,128.1,133.33,128.03,132.62,3936600
2017-11-07,132.47,133.18,129.68,133.06,2504600
2017-11-08,132.75,137.14,132.61,134.88,2334800
2017-11-09,134.07,135.14,132.98,134.09,1892100
2017-11-10,133.66,134.07,131.12,132.96,1537200
2017-11-13,133.6,134.95,131.26,132.52,2453000
2017-11-14,132.52,133.34,131.01,132.03,1854500
2017-11-15,132.08,132.34,129.65,131.54,1631500
2017-11-16,132.38,132.63,130.56,131.07,2014000
2017-11-17,130.69,131.47,128.57,128.83,2055000
2017-11-20,129.26,130.0,128.62,129.14,1703500
