Date,Open,High,Low,Close,Volume
2017-08-23,113.81,113.86,112.3,112.43,5129900
2017-08-24,112.45,112.67,111.98,112.5,5398400
2017-08-25,112.39,112.94,112.14,112.19,4133300
2017-08-28,112.19,112.56,112.03,112.24,5349200
2017-08-29,112.1,112.85,111.87,112.64,3277900
2017-08-30,112.46,112.46,111.52,111.67,5430800
2017-08-31,111.94,112.89,111.82,112.78,7407100
2017-09-01,112.97,113.02,111.56,111.64,3820800
2017-09-05,111.37,111.76,110.52,110.67,5146600
2017-09-06,111.22,111.61,110.94,111.33,5601900
2017-09-07,111.49,112.91,110.97,112.62,3800200
2017-09-08,112.46,112.75,111.5,111.59,4854400
2017-09-11,111.93,113.6,111.63,113.49,5724200
2017-09-12,114.02,114.06,112.4,113.0,5465200
2017-09-13,113.03,113.95,112.33,112.85,4679500
2017-09-14,112.58,114.57,112.45,114.32,6274500
2017-09-15,114.84,115.4,114.32,114.55,15522000
2017-09-18,114.54,115.67,114.26,115.34,5260800
2017-09-19,115.03,115.69,114.46,115.21,4903800
2017-09-20,113.53,114.41,112.75,113.5,8705500
2017-09-21,113.58,114.01,111.93,112.25,6051800
2017-09-22,112.45,112.79,111.84,111.94,4334900
2017-09-25,112.01,112.26,111.47,111.75,6017400
2017-09-26,112.04,112.41,111.46,111.56,4516200
2017-09-27,111.61,111.69,110.27,110.55,5796100
2017-09-28,110.68,110.99,110.15,110.31,3992700
2017-09-29,110.4,111.16,109.95,110.77,5736900
2017-10-02,110.89,111.89,110.78,111.8,4492900
2017-10-03,112.16,112.8,111.92,112.55,3900800
2017-10-04,112.8,113.47,112.55,113.22,3589000
2017-10-05,113.22,113.58,112.77,113.48,3741100
2017-10-06,113.31,113.53,112.87,113.5,2469500
2017-10-09,113.88,114.01,113.46,113.7,3750500
2017-10-10,113.79,114.28,113.25,114.08,4184600
2017-10-11,114.92,116.79,114.48,116.42,8269400
2017-10-12,116.16,117.16,115.89,116.58,5172800
2017-10-13,116.38,117.08,116.16,116.24,4106600
2017-10-16,116.25,116.94,115.48,115.97,5120100
2017-10-17,117.29,120.23,116.77,119.95,11717300
2017-10-18,119.95,120.62,119.34,119.86,6827700
2017-10-19,119.88,121.82,119.74,121.02,9181300
2017-10-20,121.31,122.36,120.84,121.32,5634500
2017-10-23,121.09,122.98,121.05,122.36,6686000
2017-10-24,122.16,122.16,120.07,120.67,6585800
2017-10-25,120.27,122.03,120.1,121.29,6563600
2017-10-26,121.42,122.47,120.45,120.82,5841100
2017-10-27,120.13,121.58,119.45,120.79,5140100
2017-10-30,120.2,120.31,118.7,119.28,6034300
2017-10-31,119.29,119.5,118.41,118.77,4832100
2017-11-01,119.13,119.78,118.72,119.26,5006800
2017-11-02,119.37,119.52,118.52,119.22,3494100
2017-11-03,119.05,119.62,118.68,119.35,2737000
2017-11-06,119.29,119.7,119.04,119.07,4220700
2017-11-07,119.35,119.41,118.35,119.08,4201900
2017-11-08,119.02,120.87,118.82,120.4,4440700
2017-11-09,120.01,120.48,119.11,119.58,3517100
2017-11-10,119.39,119.39,118.09,118.9,4240800
2017-11-13,118.43,119.29,117.93,119.07,4322300
2017-11-14,118.91,119.52,118.36,118.84,4078200
2017-11-15,118.62,119.13,118.21,118.51,4811500
2017-11-16,118.78,119.0,118.12,118.31,4193800
2017-11-17,117.83,118.31,117.48,117.57,4247400
2017-11-20,117.7,118.05,117.35,117.51,4266300
2017-11-21,117.96,118.65,117.74,117.86,5660600
2017-11-22,117.83,117.9,116.38,116.97,3917000
2017-11-24,117.15,117.9,116.99,117.58,2606800
2017-11-27,117.87,118.56,117.85,118.38,3933100
2017-11-28,118.55,120.46,118.51,120.03,5052800
2017-11-29,120.2,120.55,119.11,119.85,5851400
2017-11-30,120.06,120.25,118.71,119.43,8941900
2017-12-01,119.64,120.46,118.81,119.99,5990500
2017-12-04,120.54,121.29,119.09,119.16,5916700
2017-12-05,119.83,120.7,119.32,119.73,6745300
2017-12-06,120.73,121.69,120.17,120.92,5591700
2017-12-07,120.02,121.29,119.37,120.02,4713100
2017-12-08,120.01,120.66,119.84,120.51,5101300
2017-12-11,120.78,121.01,119.86,120.99,4358600
2017-12-12,122.24,123.07,121.76,122.24,8016700
2017-12-13,122.15,122.95,121.9,122.49,6118400
2017-12-14,123.03,123.11,121.39,121.42,5337900
2017-12-15,122.13,122.7,121.53,122.12,12517000
2017-12-18,122.2,123.27,121.21,121.55,5833200
2017-12-19,121.63,122.05,121.17,121.53,6580100
2017-12-20,121.95,122.22,120.93,121.0,6289800
2017-12-21,121.37,121.87,120.88,120.92,6284700
2017-12-22,120.87,121.17,120.04,120.11,4665600
2017-12-26,120.4,120.47,119.73,120.09,3271100
2017-12-27,120.37,120.99,120.18,120.5,3753600
2017-12-28,120.61,120.87,120.29,120.49,2485000
2017-12-29,120.85,121.05,119.65,119.77,4452900
2018-01-02,119.72,119.97,118.91,119.35,6842100
2018-01-03,119.46,120.59,119.07,120.49,5350500
2018-01-04,120.39,120.99,120.2,120.48,4837600
2018-01-05,120.6,121.57,120.25,121.47,6158800
2018-01-08,121.47,121.72,120.8,121.63,5129800
2018-01-09,122.04,124.88,121.95,123.56,8897000
2018-01-10,123.05,123.57,122.85,123.41,6558600
