Date,Open,High,Low,Close,Volume
2017-08-23,67.91,68.08,67.51,67.68,13766500
2017-08-24,67.7,67.81,67.08,67.65,17098300
2017-08-25,67.81,68.27,67.46,67.78,12794300
2017-08-28,68.0,68.03,67.52,67.78,14569700
2017-08-29,67.25,68.09,67.06,67.99,11478400
2017-08-30,67.95,69.07,67.78,68.88,16897800
2017-08-31,68.9,69.77,68.69,69.59,27652800
2017-09-01,69.53,69.56,68.54,68.82,21736200
2017-09-05,68.26,68.77,67.92,68.51,21556000
2017-09-06,68.63,68.91,68.27,68.32,16535800
2017-09-07,68.58,69.43,68.5,69.19,17471200
2017-09-08,69.18,69.28,68.72,68.86,14703800
2017-09-11,69.16,69.75,69.16,69.58,17910400
2017-09-12,69.58,70.03,69.22,69.51,14394900
2017-09-13,69.74,70.02,69.39,70.0,13380800
2017-09-14,69.8,70.26,69.36,69.59,15733900
2017-09-15,69.65,70.17,68.94,70.09,38578400
2017-09-18,70.02,70.71,69.84,69.95,23307000
2017-09-19,70.0,70.47,69.81,70.21,16093300
2017-09-20,70.13,70.32,69.16,69.75,21587900
2017-09-21,69.91,70.03,68.98,69.07,19186100
2017-09-22,68.86,69.35,68.73,69.26,14111400
2017-09-25,68.96,69.11,67.87,68.19,24149200
2017-09-26,68.57,68.7,67.93,68.19,18019600
2017-09-27,68.45,69.03,68.1,68.73,19565100
2017-09-28,68.45,68.85,68.23,68.75,10883800
2017-09-29,68.82,69.38,68.76,69.33,17079100
2017-10-02,69.53,69.81,69.15,69.44,15304800
2017-10-03,69.5,69.69,69.05,69.12,12190400
2017-10-04,68.96,69.54,68.6,69.52,13317700
2017-10-05,70.01,70.85,69.77,70.71,21195300
2017-10-06,70.43,70.76,70.31,70.74,13959800
2017-10-09,70.71,71.25,70.6,71.0,11386500
2017-10-10,71.04,71.32,70.87,71.0,13944500
2017-10-11,71.07,71.16,70.69,71.13,15388900
2017-10-12,71.19,71.94,71.08,71.78,16876500
2017-10-13,72.21,72.48,71.94,72.12,15335700
2017-10-16,72.06,72.42,71.99,72.27,12380100
2017-10-17,72.1,72.24,71.9,72.21,16824000
2017-10-18,72.29,72.46,72.01,72.23,13300700
2017-10-19,72.2,72.53,71.99,72.51,15092800
2017-10-20,72.89,73.5,72.8,73.35,22866400
2017-10-23,73.52,73.84,73.3,73.37,20627200
2017-10-24,73.43,73.71,73.02,73.4,17517200
2017-10-25,73.14,73.62,72.61,73.18,20410800
2017-10-26,73.71,73.92,73.29,73.3,32120700
2017-10-27,78.52,80.23,77.82,78.0,71066700
2017-10-30,77.9,78.49,77.35,78.08,31756700
2017-10-31,78.52,78.52,77.35,77.42,27086600
2017-11-01,77.88,77.96,77.14,77.42,22307400
2017-11-02,77.58,78.61,77.36,78.23,23992900
2017-11-03,78.25,78.68,77.62,78.31,17633500
2017-11-06,78.37,78.83,78.25,78.62,19860900
2017-11-07,78.9,79.02,78.12,78.43,17939700
2017-11-08,78.31,78.75,78.02,78.7,18034200
2017-11-09,78.28,78.43,77.16,78.26,21178400
2017-11-10,77.98,78.27,77.46,78.06,19397800
2017-11-13,77.86,78.12,77.68,78.12,14196900
2017-11-14,77.72,78.27,77.23,78.23,18801300
2017-11-15,78.08,78.28,77.35,77.62,19383100
2017-11-16,77.73,78.03,77.58,77.82,20962800
2017-11-17,77.75,77.75,76.93,77.08,22079000
2017-11-20,77.08,77.25,76.94,77.2,16315000
2017-11-21,77.39,78.42,77.39,78.31,21237500
2017-11-22,78.41,78.48,77.68,77.74,20553100
2017-11-24,77.65,78.04,77.43,77.88,7425600
2017-11-27,77.93,78.55,77.92,78.45,18265200
2017-11-28,78.64,79.56,78.59,79.4,21926000
2017-11-29,79.24,79.43,77.81,77.96,27381100
2017-11-30,78.11,79.06,77.96,78.73,33054600
2017-12-01,78.2,79.33,77.84,78.82,29532100
