Date,Open,High,Low,Close,Volume
2018-08-13,19.16,19.94,19.13,19.73,81411300
2018-08-14,19.97,20.29,19.63,20.03,89195500
2018-08-15,19.87,20.11,19.21,19.71,86355700
2018-08-16,19.87,20.07,19.25,19.33,69733700
2018-08-17,19.13,19.82,18.73,19.78,60616600
2018-08-20,19.8,20.08,19.36,19.98,62983200
2018-08-21,19.98,20.43,19.87,20.4,55629000
2018-08-22,20.29,20.93,20.21,20.9,62002700
2018-08-23,21.2,22.32,21.14,22.3,113444100
2018-08-24,22.91,24.0,22.68,23.98,164328200
2018-08-27,24.95,27.3,24.63,25.27,325058400
2018-08-28,25.52,26.19,24.05,25.05,215771200
2018-08-29,24.37,25.41,24.02,25.21,143223200
2018-08-30,25.3,25.68,24.77,24.89,103607300
2018-08-31,24.89,25.24,24.72,25.18,65206400
2018-09-04,25.63,28.12,25.57,28.06,192541300
2018-09-05,29.41,29.95,26.85,28.52,257349000
2018-09-06,28.13,28.58,27.2,27.85,143942900
2018-09-07,26.96,28.28,26.8,27.38,123348700
2018-09-10,28.15,29.94,27.85,29.89,162253800
2018-09-11,30.03,30.6,29.38,30.11,159902500
2018-09-12,29.91,32.3,29.46,32.21,197889600
2018-09-13,33.16,34.14,29.88,30.48,304147100
2018-09-14,31.44,33.1,30.55,32.73,217762800
2018-09-17,31.75,33.23,31.61,32.44,180410600
2018-09-18,33.0,33.37,31.21,31.94,176673200
2018-09-19,31.53,31.83,30.52,31.21,124287000
2018-09-20,32.1,32.21,30.64,31.19,123116500
2018-09-21,31.2,32.42,30.91,31.03,129792900
2018-09-24,31.13,32.66,30.91,32.62,118332600
2018-09-25,33.19,33.6,32.19,32.57,118570200
2018-09-26,32.41,32.6,31.72,32.19,79347300
2018-09-27,31.87,32.64,31.39,32.6,87934400
2018-09-28,32.25,32.78,29.98,30.89,165453500
2018-10-01,30.7,31.91,30.25,31.43,94742900
2018-10-02,30.73,30.82,28.65,29.03,145276500
2018-10-03,29.05,29.22,26.55,28.44,190137200
2018-10-04,27.99,28.83,27.38,27.79,95831200
2018-10-05,28.07,28.47,26.94,27.36,88008500
2018-10-08,26.73,27.55,25.96,26.46,103789500
2018-10-09,26.15,27.71,26.0,27.24,105461800
2018-10-10,27.38,27.4,24.91,25.0,147682900
2018-10-11,24.74,26.21,24.55,25.3,147013800
2018-10-12,26.78,26.97,25.68,26.35,111059400
2018-10-15,26.38,26.78,25.75,26.27,70523500
2018-10-16,26.63,28.23,26.18,28.19,92529000
2018-10-17,28.41,28.54,26.93,27.3,89466900
2018-10-18,27.08,27.75,26.4,26.63,79623700
2018-10-19,27.04,27.11,23.61,23.66,130799900
2018-10-22,24.46,25.64,24.1,25.04,114158900
2018-10-23,24.19,25.27,23.86,25.1,101763000
2018-10-24,25.05,25.11,22.75,22.8,134489100
2018-10-25,17.93,20.15,17.72,19.28,189173700
2018-10-26,18.49,18.79,17.05,17.63,119689000
2018-10-29,18.21,18.23,16.28,16.86,94479600
2018-10-30,16.38,17.24,16.18,17.21,99049400
2018-10-31,17.88,18.35,17.13,18.21,110463700
2018-11-01,18.41,20.33,18.08,20.22,136896500
2018-11-02,20.6,21.06,19.47,20.23,123788000
2018-11-05,20.13,20.19,18.88,19.9,108016700
2018-11-06,19.5,21.65,19.48,20.69,144995700
2018-11-07,21.43,22.22,21.07,21.85,121115800
2018-11-08,21.78,22.08,20.97,21.21,92387600
2018-11-09,20.78,21.2,20.12,21.04,85900700
2018-11-12,20.69,20.86,18.8,19.04,95948200
2018-11-13,19.29,20.03,18.97,19.62,76126000
2018-11-14,20.19,21.12,19.77,20.81,106344300
2018-11-15,20.72,21.78,20.43,21.49,97715500
2018-11-16,19.88,20.97,19.72,20.66,112376600
2018-11-19,20.4,20.6,19.1,19.12,93578200
2018-11-20,17.4,19.58,17.19,19.21,109869400
2018-11-21,20.05,20.31,18.5,18.73,81585600
2018-11-23,18.62,19.83,18.56,19.38,54611300
2018-11-26,19.96,20.2,19.12,20.08,83211000
2018-11-27,19.78,21.46,19.73,21.05,119230100
2018-11-28,21.82,21.88,20.19,21.35,134425300
2018-11-29,21.2,21.62,20.73,21.44,79853700
2018-11-30,21.3,21.37,20.53,21.3,82370700
2018-12-03,22.48,23.75,22.38,23.71,139607400
2018-12-04,23.36,23.43,21.07,21.13,127392900
2018-12-06,20.22,21.41,20.06,21.3,103434700
2018-12-07,21.3,21.38,19.18,19.46,105764500
2018-12-10,19.36,20.13,19.28,19.99,77984500
2018-12-11,20.71,21.14,19.7,19.98,88027400
2018-12-12,20.32,21.03,19.71,20.48,100340700
2018-12-13,20.63,20.88,19.77,19.87,88108300
2018-12-14,19.58,20.71,19.53,19.9,84713600
2018-12-17,20.02,20.03,18.64,18.83,115437900
2018-12-18,19.15,19.85,18.88,19.5,101512900
2018-12-19,19.45,19.72,18.0,18.16,120644500
2018-12-20,18.12,18.87,17.35,17.95,119394500
2018-12-21,18.13,18.35,16.77,16.94,132246000
2018-12-24,16.53,17.22,16.38,16.65,62933100
2018-12-26,16.88,17.91,16.04,17.9,108811800
2018-12-27,17.44,17.74,16.45,17.49,111373000
2018-12-28,17.54,18.31,17.14,17.82,109214400
2018-12-31,18.15,18.52,17.86,18.46,84732200
2019-01-02,18.02,19.0,17.98,18.83,87148700
2019-01-03,18.43,18.69,16.95,17.05,117277600
2019-01-04,17.55,19.07,17.44,19.0,111878600
2019-01-07,19.45,20.69,19.0,20.57,107157000
2019-01-08,21.2,21.21,19.69,20.75,121271000
2019-01-09,20.89,21.45,20.07,20.2,163944100
2019-01-10,19.77,19.83,18.9,19.74,115629400
2019-01-11,19.47,20.36,19.2,20.28,85110800
2019-01-14,19.96,20.63,19.75,20.23,71350200
2019-01-15,20.45,20.69,20.27,20.38,62785800
2019-01-16,20.4,20.55,19.71,19.73,70849300
2019-01-17,19.49,20.52,19.03,20.25,85018400
2019-01-18,20.38,21.05,20.03,20.78,88131000
2019-01-22,20.48,20.93,19.71,19.77,78513700
2019-01-23,20.04,20.48,19.55,19.8,77811300
2019-01-24,20.06,21.02,20.05,20.86,97433400
2019-01-25,20.99,22.04,20.8,21.94,110239500
2019-01-28,20.32,21.02,20.03,20.19,135164100
2019-01-29,20.27,20.39,19.05,19.25,131202500
2019-01-30,21.49,23.13,21.38,23.1,211421200
2019-01-31,23.03,25.14,22.83,24.41,182575600
2019-02-01,24.62,24.85,24.07,24.52,105356200
2019-02-04,24.44,24.66,24.07,24.13,70843800
2019-02-05,23.43,23.87,22.98,23.31,122226000
2019-02-06,23.63,24.14,23.22,23.27,78684300
2019-02-07,22.99,23.22,22.32,22.68,86723900
2019-02-08,22.33,23.29,22.28,23.05,78129300
2019-02-11,23.05,23.29,22.66,22.96,60578700
2019-02-12,23.44,23.56,22.75,22.82,67595400
2019-02-13,22.98,23.24,22.71,22.86,57544200
2019-02-14,22.74,23.38,22.6,23.13,64441200
2019-02-15,23.58,24.05,23.21,23.69,78644100
2019-02-19,23.63,24.41,23.62,23.96,57517900
2019-02-20,24.14,24.38,23.9,23.96,57091600
2019-02-21,24.05,24.33,23.86,23.93,49608200
2019-02-22,24.05,24.37,23.88,24.37,52650700
2019-02-25,25.02,25.53,24.69,24.71,63221000
2019-02-26,24.65,24.72,24.15,24.21,48470100
2019-02-27,24.12,24.23,23.21,23.48,62649300
2019-02-28,23.21,23.68,23.12,23.54,39384900
