Date,Open,High,Low,Close,Volume
2017-08-15,365.2,365.49,359.37,362.33,3048074
2017-08-16,363.0,366.5,362.52,362.91,3328576
2017-08-17,361.21,363.3,351.59,351.92,4969222
2017-08-18,352.91,354.0,345.8,347.46,5335793
2017-08-21,345.82,345.82,331.85,337.86,6458812
2017-08-22,341.13,342.24,337.38,341.35,4288367
2017-08-23,338.99,353.49,338.31,352.77,4914201
2017-08-24,352.52,356.66,349.74,352.93,4540652
2017-08-25,354.24,355.69,347.3,348.05,3461744
2017-08-28,347.28,347.35,339.72,345.66,3718108
2017-08-29,339.48,349.05,338.75,347.36,4032825
2017-08-30,349.67,353.47,347.0,353.18,3390055
2017-08-31,353.55,358.44,352.82,355.9,4072795
2017-09-01,356.12,357.59,353.69,355.4,3049546
2017-09-05,353.8,355.49,345.89,349.59,3813862
2017-09-06,349.5,350.98,341.56,344.53,4058983
2017-09-07,345.98,352.48,343.45,350.61,4219997
2017-09-08,348.99,349.78,342.3,343.4,3248803
2017-09-11,351.35,363.71,350.0,363.69,7627917
2017-09-12,364.49,368.76,360.4,362.75,5929289
2017-09-13,363.82,368.07,359.59,366.23,4161382
2017-09-14,364.33,377.96,362.63,377.64,7141663
2017-09-15,374.51,380.0,372.7,379.81,5338678
2017-09-18,380.25,389.61,377.68,385.0,7149295
2017-09-19,380.0,382.39,373.57,375.1,6256035
2017-09-20,373.0,378.25,371.07,373.91,4892872
2017-09-21,374.9,376.83,364.51,366.48,4605428
2017-09-22,366.49,369.9,350.88,351.09,8105653
2017-09-25,353.15,357.47,342.88,344.99,7542161
2017-09-26,350.93,351.24,340.9,345.25,7126550
2017-09-27,349.9,351.49,340.5,340.97,6010631
2017-09-28,339.88,342.75,335.4,339.6,5279310
2017-09-29,341.86,344.68,338.61,341.1,5062297
2017-10-02,342.52,343.7,335.51,341.53,4901453
2017-10-03,335.9,348.55,331.28,348.14,9981885
2017-10-04,351.25,358.62,349.6,355.01,8120353
2017-10-05,356.0,357.44,351.35,355.33,4102286
2017-10-06,353.1,360.1,352.25,356.88,4171789
2017-10-09,349.65,351.75,342.67,342.94,7406324
2017-10-10,346.8,355.63,345.54,355.59,6914972
2017-10-11,353.89,357.6,351.15,354.6,4476769
2017-10-12,352.95,359.78,352.64,355.68,4047318
2017-10-13,356.98,358.49,353.68,355.57,3528413
2017-10-16,353.76,354.48,347.16,350.6,5353262
2017-10-17,350.91,356.22,350.07,355.75,3280670
2017-10-18,355.97,363.0,354.13,359.65,4898808
2017-10-19,355.56,357.15,348.2,351.81,5032884
2017-10-20,352.69,354.55,344.34,345.1,4888221
2017-10-23,349.88,349.95,336.25,337.02,5715817
2017-10-24,338.8,342.8,336.16,337.34,4463807
2017-10-25,336.7,337.5,323.56,325.84,8547764
2017-10-26,327.78,330.23,323.2,326.17,4980316
2017-10-27,319.75,324.59,316.67,320.87,6942493
2017-10-30,319.18,323.78,317.25,320.08,4236029
2017-10-31,320.23,331.95,320.18,331.53,5532647
2017-11-01,332.25,332.61,320.26,321.08,7028856
2017-11-02,300.13,308.69,292.63,299.26,19731322
2017-11-03,299.5,306.25,295.13,306.09,8835157
2017-11-06,307.0,307.5,299.01,302.78,6463227
