Date,Open,High,Low,Close,Volume
2017-08-23,141.99,143.12,141.71,142.84,889818
2017-08-24,143.06,144.26,142.51,143.81,1573756
2017-08-25,144.72,146.09,143.98,144.24,1220345
2017-08-28,144.29,146.12,144.29,145.78,1570033
2017-08-29,145.09,146.63,144.89,145.89,1178480
2017-08-30,145.65,147.64,145.32,147.53,1744680
2017-08-31,147.38,148.71,146.88,148.06,2291202
2017-09-01,148.34,148.34,145.23,145.78,1765838
2017-09-05,145.97,147.15,145.67,146.94,1559315
2017-09-06,147.0,147.31,146.07,146.07,1335914
2017-09-07,146.31,147.03,146.03,146.99,1747689
2017-09-08,146.81,146.81,144.44,144.99,2218987
2017-09-11,146.42,146.85,144.62,146.18,2173796
2017-09-12,146.14,146.3,143.85,144.84,2058666
2017-09-13,144.93,145.04,143.39,143.7,2085702
2017-09-14,142.82,143.1,141.41,142.85,2778881
2017-09-15,143.06,145.14,142.87,145.01,3204995
2017-09-18,145.03,146.23,144.53,144.78,1530997
2017-09-19,144.78,145.59,138.78,140.98,5490290
2017-09-20,141.16,141.62,139.47,140.4,2852130
2017-09-21,140.53,140.88,139.4,139.4,1957320
2017-09-22,138.21,139.18,137.17,137.78,2608992
2017-09-25,137.81,138.37,137.07,137.39,1926722
2017-09-26,137.4,137.95,134.12,136.42,2500620
2017-09-27,136.03,136.39,134.51,134.74,2639446
2017-09-28,134.29,136.14,133.74,136.1,1958772
2017-09-29,135.72,137.18,135.61,136.68,1700530
2017-10-02,137.03,137.65,135.66,135.87,1502541
2017-10-03,136.0,137.2,135.87,136.66,1885781
2017-10-04,136.9,139.65,136.69,138.84,1822066
2017-10-05,139.12,139.93,139.0,139.25,1965427
2017-10-06,138.51,139.13,137.39,139.12,1340697
2017-10-09,139.0,139.12,137.53,137.94,2115772
2017-10-10,138.16,138.45,136.87,137.09,2173858
2017-10-11,137.03,138.99,137.03,137.93,1983631
2017-10-12,137.99,140.34,137.38,140.03,1657943
2017-10-13,140.75,140.91,139.28,139.97,1815471
2017-10-16,139.71,140.68,138.81,139.59,1590185
2017-10-17,139.65,140.34,138.08,139.13,1388299
2017-10-18,138.95,139.14,137.41,137.48,1695784
2017-10-19,137.42,139.0,137.06,138.39,2054708
2017-10-20,138.78,140.23,138.2,139.07,1860906
2017-10-23,138.63,139.25,137.74,138.75,1555732
2017-10-24,139.0,139.07,137.21,138.03,1863651
2017-10-25,137.67,138.13,136.6,137.37,1052899
2017-10-26,138.06,139.24,137.41,138.45,1692666
2017-10-27,139.29,140.14,138.15,139.03,1556171
2017-10-30,138.76,144.81,138.41,142.87,5117766
2017-10-31,139.92,144.34,138.31,143.67,2993063
2017-11-01,144.25,144.66,140.39,140.81,2819212
2017-11-02,140.65,142.96,140.53,142.44,1364057
2017-11-03,141.84,142.41,140.23,142.1,1577242
2017-11-06,145.04,150.96,144.96,150.16,3936627
2017-11-07,149.99,150.79,146.84,150.66,2502843
2017-11-08,150.31,155.28,150.15,152.72,2284685
2017-11-09,151.81,153.01,150.56,151.82,1808118
2017-11-10,151.34,151.81,148.46,150.54,1537154
2017-11-13,151.28,152.81,148.62,150.04,2453045
2017-11-14,150.06,150.97,148.34,149.49,1854519
2017-11-15,149.56,149.84,146.81,148.93,1629940
2017-11-16,149.89,150.17,147.84,148.4,2013011
2017-11-17,147.97,148.85,145.57,145.87,2053879
2017-11-20,146.35,147.19,145.63,146.22,1703515
2017-11-21,146.38,147.31,145.64,146.59,1923439
2017-11-22,146.38,146.87,145.0,145.31,1694700
2017-11-24,145.76,147.66,145.42,147.31,887597
2017-11-27,147.51,149.31,147.51,148.23,1485897
2017-11-28,148.59,149.48,147.16,148.64,2368832
2017-11-29,148.47,148.79,145.71,146.31,2151615
2017-11-30,146.72,147.09,142.53,143.93,4173153
2017-12-01,144.22,145.15,141.67,143.62,1993812
2017-12-04,143.72,144.4,138.96,138.97,2231374
2017-12-05,138.64,141.33,138.59,140.76,1732504
2017-12-06,140.42,142.34,140.14,141.81,1099505
2017-12-07,142.75,144.54,141.5,144.12,2172288
2017-12-08,144.5,144.92,142.28,142.47,1690412
2017-12-11,144.19,144.51,141.46,144.06,2269385
2017-12-12,144.16,145.6,143.17,143.51,1852582
2017-12-13,143.48,145.59,143.48,143.73,1693566
2017-12-14,143.74,145.01,143.59,143.64,2105925
2017-12-15,143.79,144.78,141.94,142.76,3630701
2017-12-18,143.65,143.65,142.01,142.84,2010995
2017-12-19,143.01,143.95,141.75,141.87,2202613
2017-12-20,142.0,142.26,140.03,140.19,2576475
2017-12-21,140.25,141.21,139.41,139.62,2563592
2017-12-22,140.2,141.09,138.53,140.66,3067823
2017-12-26,140.21,141.78,139.93,140.91,821994
2017-12-27,140.62,142.25,140.34,141.56,1002001
2017-12-28,141.65,143.32,141.56,142.91,1528660
2017-12-29,143.16,143.51,142.5,142.67,1125309
2018-01-02,143.16,143.22,140.91,141.13,1880582
2018-01-03,141.06,142.5,140.87,141.68,1770470
2018-01-04,141.44,141.96,139.59,139.62,1706815
2018-01-05,140.23,140.7,139.59,140.51,2115466
2018-01-08,140.66,143.24,140.66,142.01,1878894
2018-01-09,142.1,142.25,140.87,141.06,1479532
2018-01-10,140.41,140.6,136.03,137.62,3318674
2018-01-11,138.0,138.01,134.51,134.97,3244029
2018-01-12,135.39,135.5,132.54,133.0,3197260
2018-01-16,133.24,138.0,133.24,135.63,2936675
2018-01-17,136.12,137.16,135.56,136.64,1995540
2018-01-18,136.59,136.67,134.72,135.19,3362992
2018-01-19,135.9,137.68,134.75,137.62,3283570
2018-01-22,137.69,139.24,137.41,139.24,1826651
2018-01-23,139.51,141.44,139.2,141.2,2906999
2018-01-24,141.1,142.68,141.01,141.76,3049528
2018-01-25,142.46,143.06,141.5,142.96,2304610
2018-01-26,143.14,145.14,142.84,145.13,1706287
