Date,Open,High,Low,Close,Volume
2017-08-23,134.43,134.49,132.65,132.81,5080465
2017-08-24,132.82,133.09,132.28,132.89,5345231
2017-08-25,131.91,132.56,131.62,131.68,4127094
2017-08-28,131.68,132.12,131.49,131.74,5263566
2017-08-29,131.57,132.45,131.31,132.21,3251428
2017-08-30,132.0,132.0,130.9,131.07,5407832
2017-08-31,131.39,132.5,131.25,132.37,7383291
2017-09-01,132.6,132.65,130.94,131.03,3819156
2017-09-05,130.72,131.18,129.72,129.9,5146616
2017-09-06,130.54,131.0,130.21,130.67,5462168
2017-09-07,130.87,132.53,130.25,132.19,3732519
2017-09-08,132.0,132.34,130.87,130.98,4834116
2017-09-11,131.37,133.34,131.03,133.21,5552669
2017-09-12,133.84,133.88,131.93,132.63,5462797
2017-09-13,132.67,133.75,131.85,132.45,4618804
2017-09-14,132.14,134.47,131.99,134.18,6271330
2017-09-15,134.79,135.45,134.18,134.45,15316869
2017-09-18,134.44,135.78,134.12,135.38,5260780
2017-09-19,135.03,135.79,134.35,135.22,4880997
2017-09-20,133.25,134.29,132.34,133.22,7281193
2017-09-21,133.31,133.82,131.38,131.75,5692496
2017-09-22,131.99,132.39,131.28,131.39,4257909
2017-09-25,131.47,131.76,130.84,131.17,5949238
2017-09-26,131.5,131.94,130.82,130.94,3691817
2017-09-27,131.0,131.09,129.43,129.75,5669761
2017-09-28,129.91,130.28,129.29,129.47,3950648
2017-09-29,129.59,130.47,129.06,130.01,5699479
2017-10-02,130.16,131.34,130.03,131.22,4437552
2017-10-03,131.65,132.4,131.37,132.1,3884422
2017-10-04,132.4,133.18,132.1,132.89,3578974
2017-10-05,132.89,133.31,132.37,133.19,3185559
2017-10-06,133.0,133.25,132.48,133.22,2464664
2017-10-09,133.66,133.82,133.17,133.45,3750502
2017-10-10,133.56,134.13,132.92,133.9,4121137
2017-10-11,134.88,137.09,134.37,136.65,8103275
2017-10-12,136.34,137.53,136.03,136.84,5018977
2017-10-13,136.6,137.42,136.34,136.43,4104533
2017-10-16,136.45,137.26,135.54,136.12,5114825
2017-10-17,137.67,141.12,137.06,140.79,11555970
2017-10-18,140.79,141.59,140.07,140.68,6800409
2017-10-19,140.71,142.98,140.54,142.04,8623640
2017-10-20,142.38,143.62,141.84,142.4,5620340
2017-10-23,142.13,144.36,142.09,143.62,6669743
2017-10-24,143.38,143.38,140.93,141.64,5742798
2017-10-25,141.16,143.23,140.96,142.42,4850811
2017-10-26,142.51,143.75,141.38,141.81,5834460
2017-10-27,141.0,142.7,140.2,141.78,5140109
2017-10-30,141.09,141.21,139.32,140.0,6012739
2017-10-31,140.03,140.26,138.98,139.41,4779360
2017-11-01,139.84,140.59,139.34,139.98,4985457
2017-11-02,140.12,140.29,139.12,139.93,3470804
2017-11-03,139.73,140.4,139.31,140.09,2735973
2017-11-06,140.01,140.49,139.72,139.76,4209904
2017-11-07,140.09,140.15,138.91,139.78,4169887
2017-11-08,139.7,141.87,139.47,141.32,4371556
2017-11-09,140.87,141.41,139.81,140.35,3490210
2017-11-10,140.13,140.13,138.62,139.56,4231808
2017-11-13,139.01,140.03,138.42,139.76,4309741
2017-11-14,139.57,140.29,138.92,139.49,4070870
2017-11-15,139.23,139.84,138.75,139.1,3736311
2017-11-16,139.42,139.68,138.64,138.87,4173520
2017-11-17,138.31,138.87,137.89,138.0,4112134
2017-11-20,138.15,138.56,137.74,137.93,4262306
2017-11-21,138.45,139.26,138.19,138.34,5654616
2017-11-22,138.31,138.38,136.6,137.29,3917002
2017-11-24,137.5,138.38,137.31,138.01,2606832
2017-11-27,137.51,138.31,137.48,138.1,3929055
2017-11-28,138.31,140.53,138.26,140.03,4990975
2017-11-29,140.22,140.63,138.95,139.81,5851449
2017-11-30,140.06,140.28,138.48,139.34,8941892
2017-12-01,139.57,140.53,138.6,139.98,5990487
2017-12-04,140.62,141.5,138.93,139.01,5547138
2017-12-05,139.88,140.81,139.2,139.67,6738613
2017-12-06,140.25,141.96,140.19,141.06,5304506
2017-12-07,141.0,141.5,139.26,140.01,4705180
2017-12-08,140.0,140.76,139.81,140.59,4343488
2017-12-11,140.1,141.17,139.84,141.14,4325895
2017-12-12,142.06,143.57,142.04,142.6,8013643
2017-12-13,142.5,143.43,142.21,142.89,5754026
2017-12-14,143.6,143.62,141.62,141.65,5332273
2017-12-15,142.73,143.14,141.78,142.46,12012749
2017-12-18,142.43,143.81,141.41,141.81,5821869
2017-12-19,141.72,142.38,141.37,141.78,6453244
2017-12-20,142.29,142.59,141.09,141.16,5933448
2017-12-21,141.76,142.17,141.03,141.06,5501307
2017-12-22,141.0,141.35,140.04,140.12,4655340
2017-12-26,140.46,140.54,139.68,140.09,3268365
2017-12-27,140.42,141.15,140.2,140.57,3645694
2017-12-28,140.7,141.0,140.34,140.56,2237834
2017-12-29,140.98,141.21,139.59,139.72,4419945
2018-01-02,139.66,139.95,138.72,139.23,6835739
2018-01-03,139.37,140.68,138.9,140.56,5241755
2018-01-04,140.45,141.14,140.22,140.56,4777518
2018-01-05,140.69,141.82,140.28,141.71,5900718
2018-01-08,141.7,142.0,140.92,141.89,4980217
2018-01-09,142.37,145.68,142.26,144.14,8888967
2018-01-10,143.56,144.16,143.32,143.97,6556440
2018-01-11,144.13,144.9,143.69,144.79,4909267
2018-01-12,144.99,146.42,144.9,145.76,5430284
2018-01-16,146.42,148.06,146.03,146.87,7864158
2018-01-17,147.84,148.32,145.48,146.98,10612314
2018-01-18,146.93,147.44,145.97,146.92,5219314
2018-01-19,147.46,147.65,146.42,147.37,8704553
2018-01-22,147.01,148.14,146.72,148.14,6505696
2018-01-23,146.96,147.44,141.62,141.84,16897226
2018-01-24,143.5,143.56,141.81,142.07,12373680
2018-01-25,142.31,144.66,142.21,144.4,7542612
2018-01-26,144.5,145.6,144.13,145.34,6979094
2018-01-29,144.85,144.94,143.53,143.68,7766129
2018-01-30,143.4,143.82,142.43,142.43,8178194
2018-01-31,142.57,142.57,138.1,138.19,13022358
2018-02-01,137.53,140.67,137.0,140.03,9372485
2018-02-02,139.03,140.37,137.38,137.68,9197500
2018-02-05,136.59,137.0,122.15,130.39,19475494
2018-02-06,130.01,132.99,128.0,131.84,19102631
2018-02-07,131.89,133.43,131.35,131.42,10436291
2018-02-08,130.91,131.25,126.11,126.36,11617736
2018-02-09,127.52,130.92,125.44,129.53,14917886
2018-02-12,130.0,131.32,127.68,130.28,9874716
2018-02-13,129.21,130.6,128.7,129.96,6329022
2018-02-14,129.44,130.01,128.39,129.67,6237364
2018-02-15,130.1,131.28,129.4,131.23,5591782
2018-02-16,130.96,134.45,130.84,133.15,7917284
2018-02-20,132.87,133.45,130.66,130.87,6508157
2018-02-21,130.81,132.43,129.87,129.91,6254076
2018-02-22,130.1,131.03,129.48,129.91,5719462
2018-02-23,130.09,132.09,130.03,132.03,4995038
2018-02-26,131.71,133.41,131.0,132.07,6648513
2018-02-27,132.21,133.09,131.6,131.67,7072577
2018-02-28,131.95,132.34,129.87,129.88,7898371
2018-03-01,129.12,130.12,126.52,127.28,9424007
2018-03-02,126.91,129.12,126.91,128.82,6910426
2018-03-05,128.63,130.31,128.18,129.79,5799799
2018-03-06,130.0,130.2,127.92,128.22,5546530
2018-03-07,127.48,129.34,127.27,129.04,6391661
2018-03-08,129.34,132.31,129.34,132.06,6293127
2018-03-09,132.51,133.82,131.56,133.81,6899702
2018-03-12,133.81,134.23,132.32,132.63,4885880
2018-03-13,133.81,135.39,133.45,134.35,9093637
2018-03-14,135.24,135.7,131.9,132.32,6309618
2018-03-15,132.56,134.24,132.47,133.06,4940860
2018-03-16,133.16,134.4,132.1,133.68,13809970
2018-03-19,133.35,133.47,129.37,130.24,5826044
2018-03-20,130.78,131.78,129.38,131.21,5858987
2018-03-21,131.4,132.78,130.66,131.19,5128176
2018-03-22,130.47,130.68,127.1,127.38,7532800
2018-03-23,127.63,127.8,124.9,125.1,8286607
2018-03-26,126.41,127.54,125.21,127.39,8282774
2018-03-27,127.11,129.1,126.39,127.21,7663114
2018-03-28,127.63,129.03,127.21,127.45,6868531
2018-03-29,127.97,128.76,126.82,128.15,6119424
2018-04-02,127.82,127.88,123.54,124.56,8916907
2018-04-03,125.18,128.49,124.68,128.35,8034954
2018-04-04,126.9,131.12,126.39,130.41,7717054
2018-04-05,130.41,131.2,129.5,130.71,5621686
2018-04-06,130.22,130.64,126.41,128.1,6399310
2018-04-09,128.65,131.14,127.68,129.48,6395848
2018-04-10,130.25,130.91,129.29,130.25,6069549
2018-04-11,129.14,130.35,129.03,129.63,4575422
